label	message
spam	URGENT! You have won a FREE iPhone 15! Click here to claim your prize NOW! Limited time offer!
spam	CONGRATULATIONS! You've been selected for a $1000 Walmart gift card! Claim now before it expires!
spam	FREE VIAGRA! Get 50% off on all medications. No prescription needed. Order now!
spam	Make $5000/week working from home! No experience required. Start earning today!
spam	URGENT: Your bank account has been suspended. Click here to verify your details immediately!
spam	FREE RINGTONE! Download the latest songs for FREE! No subscription required!
spam	LOSE 20 POUNDS IN 2 WEEKS! Revolutionary diet pill. Money back guarantee!
spam	Your computer has been infected with 15 viruses! Download our antivirus software NOW!
spam	FREE CREDIT REPORT! Check your credit score instantly. No credit card required!
spam	MAKE MONEY FAST! Earn $1000/day from home. No investment needed!
spam	FREE LAPTOP! You've won a brand new Dell laptop. Claim your prize now!
spam	URGENT: Your PayPal account needs verification. Click here to update your information!
spam	FREE CASH! You've been selected for a $500 cash prize. Claim within 24 hours!
spam	ENLARGE YOUR PENIS! 3 inches guaranteed in 30 days. Natural formula!
spam	FREE GAS! Get $50 gas card for FREE! No purchase required!
spam	MAKE MONEY ONLINE! Earn $2000/week typing at home. No experience needed!
spam	FREE DIAMOND RING! You've won a 2-carat diamond ring. Claim now!
spam	URGENT: Your email account will be deleted. Verify your identity immediately!
spam	FREE VACATION! You've won a 7-day Caribbean cruise. Book now!
spam	LOSE WEIGHT FAST! Burn fat while you sleep. Revolutionary formula!
spam	FREE MONEY! You've been selected for a $1000 cash giveaway!
spam	URGENT: Your social security number has been compromised. Verify now!
spam	FREE GIFT CARD! Get a $100 Amazon gift card for FREE!
spam	MAKE MONEY EASY! Earn $500/day from your phone. No work required!
spam	FREE PHONE! You've won the latest iPhone. Claim your prize now!
spam	URGENT: Your Netflix account has been suspended. Update payment now!
spam	FREE CASH PRIZE! You've won $2000. Claim within 2 hours!
spam	LOSE BELLY FAT! Revolutionary fat burner. Results in 7 days!
spam	FREE SHOPPING SPREE! You've won a $500 shopping spree!
ham	Hi John, can you send me the meeting notes from yesterday's presentation?
ham	Thanks for your help with the project. The client was very satisfied.
ham	Don't forget about the team lunch tomorrow at 12 PM.
ham	I'll be working from home today due to the weather.
ham	The quarterly report is ready for review. Please check your email.
ham	Happy birthday! Hope you have a great day.
ham	Can you please update the project timeline by end of day?
ham	The office will be closed on Friday for the holiday.
ham	I've attached the invoice for last month's services.
ham	Let's schedule a call to discuss the new proposal.
ham	Thanks for the birthday wishes everyone!
ham	The new software update is now available for download.
ham	Please remember to submit your timesheets by Friday.
ham	I'll be out of the office next week for vacation.
ham	The client meeting has been rescheduled to next Tuesday.
ham	Don't forget to bring your laptop to the conference.
ham	The monthly newsletter is now available on the intranet.
ham	I've scheduled a team meeting for tomorrow at 10 AM.
ham	Please review the attached document and provide feedback.
ham	The office party is this Friday at 6 PM. Hope to see you there!
ham	Can you help me with the presentation for next week?
ham	The new employee orientation is scheduled for Monday.
ham	I've updated the project files in the shared drive.
ham	Thanks for covering my shift yesterday. I really appreciate it.
ham	The company picnic is next Saturday. Don't forget to RSVP.
ham	I'll be late to the meeting due to traffic.
ham	The budget report is due by end of day Friday.
ham	Can you please forward me the contact information for the vendor?
ham	The training session has been moved to next week.
ham	I've completed the analysis you requested. Check your email.
ham	The office will be closing early today due to the storm.
